userid,filled_atype2
0615890e3a47c783d0dac92eca3c7df269272cf3ef6ad865cbdd2088e05e7248,NonEnglish
0630d2efaf418ecb15ba9d39a8b61cd349b55ff9692face5f7cfd889d4494b44,Fearmonger
064e72b105053ba989fedc8f77887cefd23fdd8e8791724de849eb9eac88640f,Fearmonger
065bd0ec43552000636a4e547ad8805d0c78525c8c765a8057febafc3008ca95,Unknown
0684a632e4f1783c9fcd8000b31b62cb3004c8d9cd43726ea1a3e0f74a27b985,NonEnglish
069e2889937930064ac1f3cac316483f9f5634d7edca6878174de81e91bb9e0a,RightTroll
06b743941e9471d9c9d0b70ae82024d395e135fc88b90127be7a9f0e6a4f1734,Fearmonger
06c9a561646e92f4b7c9de1a10de3b84dc2e21ee3225c97a7d450259692f4ac4,NonEnglish
06d7d487b33fd20c3daeab8a6999a07eab9d7a7fcc66e05a49790803e078315d,Unknown
06dd583d55075eb926897ef48a2415afc1776718c86b6ac5482e086a0e6d75d2,Unknown
06ec3b072dc4af5783f8d00883aeb92ea377af12f5a983fe8c7db9c7448fa89e,Unknown
06ef0a8dfa3cd07160247c79175c1b7bc1237e4803842f5b04245a03bb7dfab0,NonEnglish
071046549ee225db92c103ac6e3a5c13cf977d56dd6eac587b381b6965ccceca,NonEnglish
072251a250b9e8b3db30f53dd0b84bd7dff008a2131f30a50582bd3e0ac85155,NonEnglish
07234e0489f299562b5025344cdd5d000284d64ff61c7240f9f52c5707a3bfb6,LeftTroll
0735e90fe6a7f6bbe226d1d7af78c39ba9b550a8273863ecb3037cad555db172,NonEnglish
0747e8431486836a1fed5dcb59818ee996d819f46d9e9b217ab4eb95c9057f69,Fearmonger
075b4536682c92bf5b97cdd968770a4370b75b7a7217f689528c7d892fe44dd7,NonEnglish
0767cf90dd7edc47426c284381d29b26c2c036f55c78f6b7e03e446895210f65,Fearmonger
07d23813d56c923851051546fef9fc7a4f2ccffeb31d06cfea0041cf511b9cc5,Fearmonger
080da9e6b0c293d8e7abe6115605790ec8bc9a5c75a2b3e60539e67e3f100875,Newsfeed
080e95a855b272f374bc4a1a471e0802fc027fa7b4c40d77f0a12ccb13732edc,NonEnglish
081115ddddcebbaf532a44b77fcd4b85c70e2cbe2d46644b9b79ab33364a197d,NonEnglish
082268095ebed2425bf5ce79ca8c0eca1e75a1353e3104fc36fca2f35ac4c303,Fearmonger
086e99abeb0a18f2c7f83d930a6c4487dbe7508d44300e70f2671015e146e866,LeftTroll
0870affb7b4ecd5f63b1c83a2eb08688384f3add16f8fdf1b508574a80b0b628,NonEnglish
0877f1084c8e757514e6e077bd681534d65f5e8edf012f83bc40a23c2f195b19,Fearmonger
089b3f5dde42189a656e553b3688562e038295a0cd42ca6e622a34f68e855c0f,RightTroll
08bb70dbfe40d6dc0c454dfc4b4ccff86863bdca12ac41a01114525b6d048556,Fearmonger
08bf215f69bdb9cb308d0266dffcd1af6bc54d214cb92fd3f740112fff23f3a9,LeftTroll
08c89e87b800af10e5be05500fabdc95d45257073f12f0a21546370ec524ef9d,RightTroll
08f1da4ff33c32ea300f8174ac74f5f59411c40ac5b57932901bd5a6a1c4b2fd,NonEnglish
08f27de6863a03771fd5532600cbaaf734327f6c773ffc27e6bec301bc189c5b,NonEnglish
08f4e6269b3fe88e788f1acb24dad13c72aeb20de2eaa6586951cd7a66dbd0e6,LeftTroll
0945c828c3f3fa4064a6e67cbaa1c15827f6de9f3f9e6991aa946c39fd41b631,HashtagGamer
094ee190cc4c8ba637ba115376e2ce3aa46d145d4f456182d90a2e46fa928619,Fearmonger
0972f9e2edc94a37ee72c1c80d1865b81375dd08406621cc6926b3c1db753111,LeftTroll
0974d5dbee4ca9bd6c3b46d62a5cbdbd5c0d86e196b624dbfc7d18cf17b3eab5,NonEnglish
0994abf9fb8fe1bf699d0e101e9603b30f369e94a0eec1109e2f654b1a9c5caf,RightTroll
09b437f53a749d617568dabd71cae88fcd0eab344d190212a4cddcc854e70383,NonEnglish
09b49f7fd9c9f3b1598fb5b28d9b19983529d16d4377b5d0cb3c698a4add8563,Fearmonger
09c3b6feef2625474374066b50ebc77942a667bdfa14c7d17d2f209a501fd79b,Fearmonger
09c6a23c8e0339b41b8e5c5156dc64237ee088fec1b5adceb9dc9c7e93be12e6,Unknown
09da7d709e1ba5e25b4bf3253a2fdfc97476be7c2e8c993685cd5a5195ab15b1,NonEnglish
09df0071b17f644d975c229cb6dd3c20c2c7232efd4af3cd5210599415e54d6c,Unknown
09f9f2673dc328eb7ee0204b7712f766d9b102ff9c657e614e4da7e0553eb790,RightTroll
09fd8fb67a9889a2c8c07d8cca5e6e8abed711ff061e2e50a17b6af566761913,NonEnglish
09fffb63d6d8c7abdd670daef457bf8ed7da1193529301ecaa1d878f98a5f1df,Fearmonger
